experiments_all_line,scenario,domain,language_scenario,lang_id,expected_language,agent_llm,normalized_agent_llm,simulation_source,results_json,lang_components,pass_hat_1,pass_hat_2,pass_hat_3,rho_3,user_language_correctness,agent_language_correctness,csv_user_language_correctness,csv_agent_language_correctness,user_turns_total,agent_turns_total,user_non_target_lang_proportion,agent_non_target_lang_proportion,user_drift_turn,agent_drift_turn,user_drift_trial_count,agent_drift_trial_count,user_detected_lang_proportion,agent_detected_lang_proportion,language_detector_warning
49,2-multilingual-tools,retail,tool_mix_3,en,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri,data/simulations/2-multilingual-tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri/results.json,"[""mixed_tools""]",0.535,0.398,0.325,0.607,0.988643,1.0,0.989,1,1761,1972,fr_0.005|de_0.003|id_0.001|ja_0.001|pl_0.001|ru_0.001|uk_0.001,,5.0,,20,0,en_0.989|fr_0.005|de_0.003|id_0.001|ja_0.001|pl_0.001|ru_0.001|uk_0.001,en_1.000,
50,2-multilingual-tools,retail,tool_mix_4,en,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth,data/simulations/2-multilingual-tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth/results.json,"[""mixed_tools""]",0.585,0.447,0.377,0.644,0.986246,1.0,0.988,1,1745,1975,fr_0.005|de_0.003|ru_0.002|uk_0.001|id_0.001|it_0.001|pl_0.001|sv_0.001,,3,,23,0,en_0.986|fr_0.005|de_0.003|ru_0.002|uk_0.001|id_0.001|it_0.001|pl_0.001|sv_0.001,en_1.000,
51,2-multilingual-tools,retail,tool_mix_5,en,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi,data/simulations/2-multilingual-tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi/results.json,"[""mixed_tools""]",0.57,0.401,0.298,0.523,0.987407,1.0,0.99,1,1747,1946,fr_0.005|de_0.004|id_0.002|ca_0.001|es_0.001|ru_0.001,,5.0,,22,0,en_0.987|fr_0.005|de_0.004|id_0.002|ca_0.001|es_0.001|ru_0.001,en_1.000,
52,2-multilingual-tools,retail,vietnamese,vi,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools,data/simulations/2-multilingual-tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools/results.json,"[""tools""]",0.547,0.412,0.351,0.642,0.989017,1.0,0.991,1,1730,1948,fr_0.005|de_0.003|id_0.002|ja_0.001,,5,,19,0,en_0.989|fr_0.005|de_0.003|id_0.002|ja_0.001,en_1.000,
53,2-multilingual-tools,telecom,chinese,zh,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools/results.json,"[""tools""]",0.705,0.576,0.5,0.709,0.99875,0.999665,0.999,1,3199,2987,ko_0.001|es_0.000|fr_0.000,pa_0.000,37.0,18,4,1,en_0.999|ko_0.001|es_0.000|fr_0.000,en_1.000|pa_0.000,
54,2-multilingual-tools,telecom,filipino,tl,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools/results.json,"[""tools""]",0.719,0.594,0.509,0.708,0.998723,1.0,0.999,1,3132,2928,ko_0.001,,32.0,,4,0,en_0.999|ko_0.001,en_1.000,
55,2-multilingual-tools,telecom,indonesian,id,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_id_tools,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_id_tools/results.json,"[""tools""]",0.713,0.596,0.518,0.727,0.999344,1.0,0.999,1,3049,2864,fr_0.000|ja_0.000,,35.0,,2,0,en_0.999|fr_0.000|ja_0.000,en_1.000,
56,2-multilingual-tools,telecom,thai,th,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_th_tools,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_th_tools/results.json,"[""tools""]",0.713,0.588,0.518,0.727,0.99899,1.0,0.999,1,2970,2784,ja_0.001|zh_0.000,,29,,3,0,en_0.999|ja_0.001|zh_0.000,en_1.000,
57,2-multilingual-tools,telecom,tool_mix_2,en,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi/results.json,"[""mixed_tools""]",0.664,0.541,0.482,0.726,0.999674,0.999651,1,1,3070,2869,ko_0.000,ja_0.000,43,32,1,1,en_1.000|ko_0.000,en_1.000|ja_0.000,
58,2-multilingual-tools,telecom,tool_mix_3,en,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri/results.json,"[""mixed_tools""]",0.696,0.558,0.491,0.705,0.998737,1.0,0.999,1,3168,2989,ca_0.000|es_0.000|fr_0.000|ko_0.000,,95.0,,4,0,en_0.999|ca_0.000|es_0.000|fr_0.000|ko_0.000,en_1.000,
59,2-multilingual-tools,telecom,tool_mix_4,en,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth/results.json,"[""mixed_tools""]",0.67,0.55,0.491,0.733,0.99936,1.0,1,1,3123,2896,es_0.000|ko_0.000,,32.0,,2,0,en_0.999|es_0.000|ko_0.000,en_1.000,
60,2-multilingual-tools,telecom,tool_mix_5,en,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi/results.json,"[""mixed_tools""]",0.652,0.52,0.465,0.713,1.0,1.0,1,1,3059,2863,,,,,0,0,en_1.000,en_1.000,
61,2-multilingual-tools,telecom,vietnamese,vi,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools/results.json,"[""tools""]",0.664,0.55,0.482,0.726,0.998706,1.0,1,0.999,3090,2913,de_0.000|es_0.000|ko_0.000|ru_0.000,,34.0,,2,0,en_0.999|de_0.000|es_0.000|ko_0.000|ru_0.000,en_1.000,
62,2-multilingual-tools,telecom,chinese,zh,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools/results.json,"[""tools""]",0.222,0.135,0.096,0.432,1.0,0.979534,1,0.981,3954,4202,,ko_0.019|si_0.001|la_0.000,,30,0,69,en_1.000,en_0.980|ko_0.019|si_0.001|la_0.000,
63,2-multilingual-tools,telecom,filipino,tl,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools/results.json,"[""tools""]",0.301,0.167,0.105,0.349,0.999725,0.979397,1,0.983,3634,3883,ko_0.000,ko_0.019|si_0.001,25,24,1,53,en_1.000|ko_0.000,en_0.979|ko_0.019|si_0.001,
64,2-multilingual-tools,telecom,indonesian,id,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_id_tools,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_id_tools/results.json,"[""tools""]",0.269,0.155,0.105,0.39,0.99917,0.985548,0.999,0.987,3616,3875,ko_0.001,ko_0.013|si_0.001,21,22,3,41,en_0.999|ko_0.001,en_0.986|ko_0.013|si_0.001,
65,2-multilingual-tools,telecom,thai,th,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_th_tools,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_th_tools/results.json,"[""tools""]",0.339,0.208,0.14,0.413,0.998832,0.990445,0.999,0.993,3425,3663,ko_0.001,ko_0.010,22.0,32.0,4,24,en_0.999|ko_0.001,en_0.990|ko_0.010,
66,2-multilingual-tools,telecom,tool_mix_2,en,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi/results.json,"[""mixed_tools""]",0.298,0.155,0.088,0.295,0.999182,0.983875,0.999,0.985,3666,3907,ko_0.001,ko_0.016|si_0.001,23,24,3,49,en_0.999|ko_0.001,en_0.984|ko_0.016|si_0.001,
67,2-multilingual-tools,telecom,tool_mix_3,en,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri/results.json,"[""mixed_tools""]",0.392,0.213,0.14,0.357,0.998279,0.982978,0.998,0.985,3486,3701,ko_0.002,ko_0.016|si_0.001,19.0,27.0,6,38,en_0.998|ko_0.002,en_0.983|ko_0.016|si_0.001,
68,2-multilingual-tools,telecom,tool_mix_4,en,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth/results.json,"[""mixed_tools""]",0.365,0.181,0.105,0.288,1.0,0.985306,1,0.987,3471,3675,,ko_0.013|si_0.002,,24,0,41,en_1.000,en_0.985|ko_0.013|si_0.002,
69,2-multilingual-tools,telecom,tool_mix_5,en,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi/results.json,"[""mixed_tools""]",0.342,0.181,0.114,0.333,0.999441,0.984135,0.999,0.987,3577,3782,ko_0.001,ko_0.015|si_0.001,25.0,24.0,2,42,en_0.999|ko_0.001,en_0.984|ko_0.015|si_0.001,
70,2-multilingual-tools,telecom,vietnamese,vi,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools,data/simulations/2-multilingual-tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools/results.json,"[""tools""]",0.254,0.135,0.088,0.346,0.999736,0.981964,1,0.985,3787,4103,ko_0.000,ko_0.017|si_0.001,21,30,1,53,en_1.000|ko_0.000,en_0.982|ko_0.017|si_0.001,
71,3-crosslingual,airline,chinese,zh,zh,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260419_235442_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_chinese,data/simulations/3-crosslingual/20260419_235442_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_chinese/results.json,,0.62,0.46,0.38,0.613,0.912892,0.596649,0.054,0.455,574,776,en_0.064|fr_0.009|ja_0.007|ca_0.002|fa_0.002|wuu_0.002|yue_0.002,en_0.402|ja_0.001,12.0,0.0,36,150,zh_0.913|en_0.064|fr_0.009|ja_0.007|ca_0.002|fa_0.002|wuu_0.002|yue_0.002,zh_0.597|en_0.402|ja_0.001,
72,3-crosslingual,airline,filipino,tl,tl,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260420_003625_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_filipino,data/simulations/3-crosslingual/20260420_003625_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_filipino/results.json,,0.62,0.5267,0.48,0.774,0.825688,0.654172,0.133,0.417,654,827,en_0.153|it_0.005|es_0.003|fa_0.003|fr_0.003|de_0.002|hr_0.002|io_0.002|ja_0.002|pt_0.002,en_0.345|es_0.001,9,0.0,65,150,tl_0.826|en_0.153|it_0.005|es_0.003|fa_0.003|fr_0.003|de_0.002|hr_0.002|io_0.002|ja_0.002|pt_0.002,tl_0.654|en_0.345|es_0.001,
73,3-crosslingual,airline,indonesian,id,id,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260419_231438_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_indonesian,data/simulations/3-crosslingual/20260419_231438_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_indonesian/results.json,,0.6267,0.4467,0.36,0.574,0.89441,0.65586,0.07,0.392,644,802,en_0.079|ms_0.008|it_0.005|tr_0.005|ca_0.002|eo_0.002|fr_0.002|jv_0.002|pt_0.002|ro_0.002,en_0.343|lv_0.001,10,0.0,43,150,id_0.894|en_0.079|ms_0.008|it_0.005|tr_0.005|ca_0.002|eo_0.002|fr_0.002|jv_0.002|pt_0.002|ro_0.002,id_0.656|en_0.343|lv_0.001,
74,3-crosslingual,airline,thai,th,th,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260419_222935_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_thai,data/simulations/3-crosslingual/20260419_222935_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_thai/results.json,,0.5933,0.4733,0.4,0.674,0.909247,0.690981,0.052,0.383,584,754,en_0.079|de_0.007|it_0.002|pt_0.002|ru_0.002,en_0.309,14,0.0,31,150,th_0.909|en_0.079|de_0.007|it_0.002|pt_0.002|ru_0.002,th_0.691|en_0.309,
75,3-crosslingual,airline,vietnamese,vi,vi,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260419_214157_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_vietnamese,data/simulations/3-crosslingual/20260419_214157_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_vietnamese/results.json,,0.64,0.5,0.42,0.656,0.909556,0.702564,0.053,0.359,586,780,en_0.068|it_0.005|es_0.003|fa_0.003|ca_0.002|id_0.002|ja_0.002|ro_0.002|th_0.002|zh_0.002,en_0.297,13,0.0,35,150,vi_0.910|en_0.068|it_0.005|es_0.003|fa_0.003|ca_0.002|id_0.002|ja_0.002|ro_0.002|th_0.002|zh_0.002,vi_0.703|en_0.297,
76,3-crosslingual,airline,chinese,zh,zh,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260512_110356_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_chinese,data/simulations/3-crosslingual/20260512_110356_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_chinese/results.json,,0.76,0.64,0.58,0.763,0.998445,0.823123,0.001,0.197,643,1012,en_0.002,en_0.177,20,0.0,1,150,zh_0.998|en_0.002,zh_0.823|en_0.177,
77,3-crosslingual,airline,filipino,tl,tl,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260512_122502_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_filipino,data/simulations/3-crosslingual/20260512_122502_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_filipino/results.json,,0.7467,0.6533,0.6,0.804,0.936858,0.699358,0.038,0.309,681,1091,en_0.034|it_0.007|ca_0.004|io_0.004|pt_0.004|sh_0.004|ja_0.003|eo_0.001,en_0.301,3,0.0,33,150,tl_0.937|en_0.034|it_0.007|ca_0.004|io_0.004|pt_0.004|sh_0.004|ja_0.003|eo_0.001,tl_0.699|en_0.301,
78,3-crosslingual,airline,indonesian,id,id,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260512_073621_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_indonesian,data/simulations/3-crosslingual/20260512_073621_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_indonesian/results.json,,0.74,0.6533,0.6,0.811,0.995608,0.836466,0,0.182,683,1064,ms_0.004,en_0.159|ja_0.003|es_0.002,23,0.0,3,150,id_0.996|ms_0.004,id_0.836|en_0.159|ja_0.003|es_0.002,
79,3-crosslingual,airline,thai,th,th,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260511_110641_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai,data/simulations/3-crosslingual/20260511_110641_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai/results.json,,0.6867,0.58,0.52,0.757,0.993289,0.804114,0,0.226,596,1021,it_0.003|ca_0.002|ja_0.002,en_0.196,3,0.0,3,150,th_0.993|it_0.003|ca_0.002|ja_0.002,th_0.804|en_0.196,
80,3-crosslingual,airline,vietnamese,vi,vi,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260511_094959_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese,data/simulations/3-crosslingual/20260511_094959_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese/results.json,,0.7333,0.66,0.6,0.818,0.995122,0.827977,0,0.197,615,1058,pt_0.003|it_0.002,en_0.172,3,0.0,3,150,vi_0.995|pt_0.003|it_0.002,vi_0.828|en_0.172,
81,3-crosslingual,airline,chinese,zh,zh,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260508_013140_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-tput_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_chinese,data/simulations/3-crosslingual/20260508_013140_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-tput_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_chinese/results.json,,0.46,0.3,0.22,0.478,0.992236,0.770992,0.001,0.254,644,786,fr_0.003|en_0.002|it_0.002|wuu_0.002,en_0.229,17.0,0.0,4,150,zh_0.992|fr_0.003|en_0.002|it_0.002|wuu_0.002,zh_0.771|en_0.229,
82,3-crosslingual,airline,filipino,tl,tl,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260508_040932_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-tput_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_filipino,data/simulations/3-crosslingual/20260508_040932_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-tput_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_filipino/results.json,,0.44,0.3133,0.26,0.591,0.937126,0.716321,0.045,0.3,668,772,en_0.046|it_0.010|sh_0.003|io_0.001|lt_0.001,en_0.284,6.0,0.0,28,150,tl_0.937|en_0.046|it_0.010|sh_0.003|io_0.001|lt_0.001,tl_0.716|en_0.284,
83,3-crosslingual,airline,indonesian,id,id,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260507_221638_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-tput_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_indonesian,data/simulations/3-crosslingual/20260507_221638_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-tput_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_indonesian/results.json,,0.4933,0.3467,0.26,0.527,0.994631,0.801136,0.001,0.21,745,880,ms_0.003|en_0.001|it_0.001,en_0.190|zh_0.008|ms_0.001,12.0,0.0,4,150,id_0.995|ms_0.003|en_0.001|it_0.001,id_0.801|en_0.190|zh_0.008|ms_0.001,
84,3-crosslingual,airline,thai,th,th,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260507_093357_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-tput_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_thai,data/simulations/3-crosslingual/20260507_093357_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-tput_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_thai/results.json,,0.4867,0.3733,0.32,0.657,0.986364,0.77381,0.001,0.27,660,756,it_0.011|ca_0.002|en_0.002,en_0.226,3,0.0,9,150,th_0.986|it_0.011|ca_0.002|en_0.002,th_0.774|en_0.226,
85,3-crosslingual,airline,vietnamese,vi,vi,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260507_005606_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-tput_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_vietnamese,data/simulations/3-crosslingual/20260507_005606_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-tput_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_vietnamese/results.json,,0.48,0.3467,0.28,0.583,0.997175,0.801136,0,0.217,708,880,ca_0.003,en_0.199,3.0,0.0,2,150,vi_0.997|ca_0.003,vi_0.801|en_0.199,
86,3-crosslingual,airline,chinese,zh,zh,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/3-crosslingual/20260516_155442_airline_llm_agent_qwen3.6-35b-a3b_user_simulator_qwen3-235b-a22b-2507_crosslingual_chinese,data/simulations/3-crosslingual/20260516_155442_airline_llm_agent_qwen3.6-35b-a3b_user_simulator_qwen3-235b-a22b-2507_crosslingual_chinese/results.json,,0.7867,0.7,0.66,0.839,1.0,0.702467,0,0.343,556,689,,en_0.298,,0.0,0,150,zh_1.000,zh_0.702|en_0.298,
87,3-crosslingual,airline,filipino,tl,tl,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/3-crosslingual/20260517_105425_airline_llm_agent_qwen3.6-35b-a3b_user_simulator_qwen3-235b-a22b-2507_crosslingual_filipino,data/simulations/3-crosslingual/20260517_105425_airline_llm_agent_qwen3.6-35b-a3b_user_simulator_qwen3-235b-a22b-2507_crosslingual_filipino/results.json,,0.76,0.6667,0.6,0.789,0.949922,0.521333,0.037,0.5,639,750,en_0.041|it_0.006|ca_0.002|pt_0.002,en_0.479,3,0.0,27,150,tl_0.950|en_0.041|it_0.006|ca_0.002|pt_0.002,tl_0.521|en_0.479,
