experiments_all_line,scenario,domain,language_scenario,lang_id,expected_language,agent_llm,normalized_agent_llm,results_json,lang_components,pass_hat_1,pass_hat_2,pass_hat_3,rho_3,user_language_correctness,agent_language_correctness,csv_user_language_correctness,csv_agent_language_correctness,user_turns_total,agent_turns_total,user_non_target_lang_proportion,agent_non_target_lang_proportion,user_drift_turn,agent_drift_turn,user_drift_trial_count,agent_drift_trial_count,user_detected_lang_proportion,agent_detected_lang_proportion,language_detector_warning
44,l2_domain,telecom,filipino,tl,tl,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-24-02-05-40_telecom_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.681,0.547,0.474,0.696,0.975287,0.947083,0.978,0.929,3480,2948,en_0.015|fr_0.002|io_0.001|ceb_0.001|es_0.001|id_0.001|kw_0.001|cs_0.000|de_0.000|hr_0.000|ie_0.000|ja_0.000|lo_0.000|lt_0.000|pt_0.000|ro_0.000|ru_0.000|sh_0.000|ta_0.000|zh_0.000,en_0.053,55.0,62.0,56,153,tl_0.975|en_0.015|fr_0.002|io_0.001|ceb_0.001|es_0.001|id_0.001|kw_0.001|cs_0.000|de_0.000|hr_0.000|ie_0.000|ja_0.000|lo_0.000|lt_0.000|pt_0.000|ro_0.000|ru_0.000|sh_0.000|ta_0.000|zh_0.000,tl_0.947|en_0.053,
45,l2_domain,telecom,filipino,tl,tl,openrouter/moonshotai/kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-25-19-45-09_telecom_tl_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.743,0.582,0.474,0.638,0.998004,0.984441,0.999,0.98,3006,3792,en_0.001|ceb_0.000|ro_0.000,en_0.015|id_0.001,53.0,34.0,6,59,tl_0.998|en_0.001|ceb_0.000|ro_0.000,tl_0.984|en_0.015|id_0.001,
46,l2_domain,telecom,filipino,tl,tl,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-23-13-36-40_translated_telecom_trial-3_tl_Qwen3-235B-A22B-Instruct-2507_vertex_agent_vertex_user/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.33,0.205,0.149,0.452,0.995828,0.702271,0.996,0.723,2876,3127,en_0.003|de_0.000|ro_0.000,en_0.290|ko_0.008|si_0.000,13.0,28.0,11,286,tl_0.996|en_0.003|de_0.000|ro_0.000,tl_0.702|en_0.290|ko_0.008|si_0.000,
47,l2_domain,telecom,indonesian,id,id,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-18-21-51-53_translated_telecom_trial-3_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.497,0.325,0.246,0.495,0.990834,0.994833,0.994,0.995,3273,2129,ms_0.007|en_0.001|it_0.001|fr_0.000|jv_0.000|pl_0.000,en_0.004|ms_0.001,38.0,16.0,23,11,id_0.991|ms_0.007|en_0.001|it_0.001|fr_0.000|jv_0.000|pl_0.000,id_0.995|en_0.004|ms_0.001,
48,l2_domain,telecom,indonesian,id,id,openrouter/moonshotai/Kimi-K2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-25_telecom_id_openrouter-kimi-k2.5_default-user/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.772,0.629,0.518,0.671,0.997322,0.994953,0.997,0.996,3361,4161,ms_0.003,es_0.004|ms_0.001,15.0,50.0,9,20,id_0.997|ms_0.003,id_0.995|es_0.004|ms_0.001,
49,l2_domain,telecom,indonesian,id,id,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-23-05-17-06_translated_telecom_trial-3_id_Qwen3-235B-A22B-Instruct-2507_local_agent_localhost_user/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.427,0.295,0.211,0.494,0.99336,0.987981,0.995,0.99,3464,3661,ms_0.006|en_0.000,en_0.012|ms_0.000,17.0,28.0,20,16,id_0.993|ms_0.006|en_0.000,id_0.988|en_0.012|ms_0.000,
50,l2_domain,telecom,thai,th,th,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-23-21-13-48_telecom_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.599,0.447,0.36,0.601,0.999487,0.996528,0.999,0.996,3899,2592,fr_0.000|zh_0.000,en_0.003|mk_0.000|zh_0.000,43.0,34.0,2,9,th_0.999|fr_0.000|zh_0.000,th_0.997|en_0.003|mk_0.000|zh_0.000,
51,l2_domain,telecom,thai,th,th,openrouter/moonshotai/kimi-k2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-25-telecom-th-openrouter-kimi-k2.5_default-user/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.693,0.523,0.43,0.62,0.99938,1.0,0.999,1.0,3224,4095,ko_0.000|zh_0.000,,28.0,,2,0,th_0.999|ko_0.000|zh_0.000,th_1.000,
52,l2_domain,telecom,thai,th,th,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-23-11-47-07_translated_telecom_trial-3_th_Qwen3-235B-A22B-Instruct-2507_vertex_agent_vertex_user/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.284,0.143,0.079,0.278,0.997655,0.810453,0.998,0.864,2985,3023,en_0.002|sv_0.000,en_0.184|ko_0.004|zh_0.001|si_0.000,33.0,22.0,5,132,th_0.998|en_0.002|sv_0.000,th_0.810|en_0.184|ko_0.004|zh_0.001|si_0.000,
53,l2_domain,telecom,vietnamese,vi,vi,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_domain/2026-05-24-02-19-11_telecom_vi_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.564,0.427,0.36,0.638,0.999562,0.936256,1.0,0.918,4567,2965,en_0.000,en_0.064,74.0,50.0,2,187,vi_1.000|en_0.000,vi_0.936|en_0.064,
54,l2_domain,telecom,vietnamese,vi,vi,openrouter/moonshotai/Kimi-K2.5,kimi-k2.5,data/simulations/l2_domain/2026-05-25-11-01-49_translated_telecom_trial-3_vi_moonshotai-kimi-k2.5_localhost_user/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.696,0.529,0.404,0.58,1.0,0.98515,1.0,0.98,5089,4579,,en_0.015,,34.5,0,68,vi_1.000,vi_0.985|en_0.015,
55,l2_domain,telecom,vietnamese,vi,vi,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_domain/2026-05-23-15-19-46_translated_telecom_trial-3_vi_Qwen3-235B-A22B-Instruct-2507_vertex_agent_vertex_user/results.json,"[""user_system"", ""agent_system"", ""greeting"", ""tools"", ""policy"", ""db"", ""tasks""]",0.383,0.213,0.149,0.389,0.999128,0.888389,0.999,0.894,3441,3557,en_0.001,en_0.111|ko_0.001|la_0.000,62.0,48.0,2,221,vi_0.999|en_0.001,vi_0.888|en_0.111|ko_0.001|la_0.000,
56,l2_interaction,airline,chinese,zh,zh,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260419_235442_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_chinese/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.62,0.46,0.38,0.613,0.912892,0.739617,0.921,0.543,574,626,en_0.064|fr_0.009|ja_0.007|ca_0.002|fa_0.002|wuu_0.002|yue_0.002,en_0.259|ja_0.002,12.0,14.0,36,106,zh_0.913|en_0.064|fr_0.009|ja_0.007|ca_0.002|fa_0.002|wuu_0.002|yue_0.002,zh_0.740|en_0.259|ja_0.002,
57,l2_interaction,airline,chinese,zh,zh,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260512_110356_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_chinese/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.76,0.64,0.58,0.763,0.998445,0.966357,0.999,0.803,643,862,en_0.002,en_0.034,20.0,17.0,1,29,zh_0.998|en_0.002,zh_0.966|en_0.034,
58,l2_interaction,airline,chinese,zh,zh,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen-3-235b-it,data/simulations/l2_interaction/20260508_013140_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-tput_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_chinese/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.46,0.3,0.22,0.478,0.992236,0.95283,0.992,0.746,644,636,fr_0.003|en_0.002|it_0.002|wuu_0.002,en_0.047,17.0,17.0,4,30,zh_0.992|fr_0.003|en_0.002|it_0.002|wuu_0.002,zh_0.953|en_0.047,
59,l2_interaction,airline,filipino,tl,tl,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260420_003625_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_filipino/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.62,0.527,0.48,0.774,0.825688,0.799114,0.849,0.58,654,677,en_0.153|it_0.005|es_0.003|fa_0.003|fr_0.003|de_0.002|hr_0.002|io_0.002|ja_0.002|pt_0.002,en_0.199|es_0.001,9.0,15.0,65,113,tl_0.826|en_0.153|it_0.005|es_0.003|fa_0.003|fr_0.003|de_0.002|hr_0.002|io_0.002|ja_0.002|pt_0.002,tl_0.799|en_0.199|es_0.001,
60,l2_interaction,airline,filipino,tl,tl,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260512_122502_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_filipino/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.747,0.653,0.6,0.803,0.936858,0.81084,0.934,0.691,681,941,en_0.034|it_0.007|ca_0.004|io_0.004|pt_0.004|sh_0.004|ja_0.003|eo_0.001,en_0.189,3.0,12.0,33,97,tl_0.937|en_0.034|it_0.007|ca_0.004|io_0.004|pt_0.004|sh_0.004|ja_0.003|eo_0.001,tl_0.811|en_0.189,
61,l2_interaction,airline,filipino,tl,tl,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen-3-235b-it,data/simulations/l2_interaction/20260508_040932_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-tput_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_filipino/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.44,0.313,0.26,0.591,0.937126,0.889068,0.937,0.7,668,622,en_0.046|it_0.010|sh_0.003|io_0.001|lt_0.001,en_0.111,6.0,16.0,28,56,tl_0.937|en_0.046|it_0.010|sh_0.003|io_0.001|lt_0.001,tl_0.889|en_0.111,
62,l2_interaction,airline,indonesian,id,id,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260419_231438_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_indonesian/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.627,0.447,0.36,0.574,0.89441,0.806748,0.911,0.607,644,652,en_0.079|ms_0.008|it_0.005|tr_0.005|ca_0.002|eo_0.002|fr_0.002|jv_0.002|pt_0.002|ro_0.002,en_0.192|lv_0.002,10.0,16.0,43,106,id_0.894|en_0.079|ms_0.008|it_0.005|tr_0.005|ca_0.002|eo_0.002|fr_0.002|jv_0.002|pt_0.002|ro_0.002,id_0.807|en_0.192|lv_0.002,
63,l2_interaction,airline,indonesian,id,id,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260512_073621_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_indonesian/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.74,0.653,0.6,0.811,0.995608,0.973742,0.996,0.811,683,914,ms_0.004,en_0.021|ja_0.003|es_0.002,23.0,13.5,3,24,id_0.996|ms_0.004,id_0.974|en_0.021|ja_0.003|es_0.002,
64,l2_interaction,airline,indonesian,id,id,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen-3-235b-it,data/simulations/l2_interaction/20260507_221638_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-tput_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_indonesian/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.493,0.347,0.26,0.527,0.994631,0.965753,0.995,0.78,745,730,ms_0.003|en_0.001|it_0.001,en_0.023|zh_0.010|ms_0.001,12.0,12.0,4,25,id_0.995|ms_0.003|en_0.001|it_0.001,id_0.966|en_0.023|zh_0.010|ms_0.001,
65,l2_interaction,airline,thai,th,th,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260419_222935_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_thai/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.593,0.473,0.4,0.675,0.909247,0.862583,0.941,0.617,584,604,en_0.079|de_0.007|it_0.002|pt_0.002|ru_0.002,en_0.137,14.0,12.0,31,81,th_0.909|en_0.079|de_0.007|it_0.002|pt_0.002|ru_0.002,th_0.863|en_0.137,
66,l2_interaction,airline,thai,th,th,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260511_110641_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.687,0.58,0.52,0.757,0.993289,0.942595,0.995,0.774,596,871,it_0.003|ca_0.002|ja_0.002,en_0.057,3.0,13.0,3,50,th_0.993|it_0.003|ca_0.002|ja_0.002,th_0.943|en_0.057,
67,l2_interaction,airline,thai,th,th,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen-3-235b-it,data/simulations/l2_interaction/20260507_093357_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-tput_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_thai/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.487,0.373,0.32,0.657,0.986364,0.965347,0.988,0.73,660,606,it_0.011|ca_0.002|en_0.002,en_0.035,3.0,18.0,9,21,th_0.986|it_0.011|ca_0.002|en_0.002,th_0.965|en_0.035,
68,l2_interaction,airline,vietnamese,vi,vi,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260419_214157_airline_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_vietnamese/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.64,0.5,0.42,0.656,0.909556,0.869841,0.928,0.641,586,630,en_0.068|it_0.005|es_0.003|fa_0.003|ca_0.002|id_0.002|ja_0.002|ro_0.002|th_0.002|zh_0.002,en_0.130,13.0,16.0,35,80,vi_0.910|en_0.068|it_0.005|es_0.003|fa_0.003|ca_0.002|id_0.002|ja_0.002|ro_0.002|th_0.002|zh_0.002,vi_0.870|en_0.130,
69,l2_interaction,airline,vietnamese,vi,vi,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260511_094959_airline_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.733,0.66,0.6,0.819,0.995122,0.964758,0.995,0.803,615,908,pt_0.003|it_0.002,en_0.035,3.0,12.5,3,32,vi_0.995|pt_0.003|it_0.002,vi_0.965|en_0.035,
70,l2_interaction,airline,vietnamese,vi,vi,together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput,qwen-3-235b-it,data/simulations/l2_interaction/20260507_005606_airline_llm_agent_Qwen3-235B-A22B-Instruct-2507-tput_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_vietnamese/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.48,0.347,0.28,0.583,0.997175,0.965753,0.997,0.783,708,730,ca_0.003,en_0.034,3.0,18.0,2,25,vi_0.997|ca_0.003,vi_0.966|en_0.034,
71,l2_interaction,retail,chinese,zh,zh,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260420_052326_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_chinese/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.675,0.506,0.412,0.61,0.946908,0.843952,0.948,0.682,1714,1852,en_0.041|de_0.005|ja_0.002|es_0.002|fr_0.001|wuu_0.001,en_0.154|ko_0.001|hu_0.001,18.5,17.0,70,156,zh_0.947|en_0.041|de_0.005|ja_0.002|es_0.002|fr_0.001|wuu_0.001,zh_0.844|en_0.154|ko_0.001|hu_0.001,
72,l2_interaction,retail,chinese,zh,zh,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260513_044927_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_chinese/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.722,0.596,0.526,0.729,0.982416,0.993845,0.983,0.835,1763,2112,en_0.009|de_0.003|fr_0.003|wuu_0.001|it_0.001,en_0.006,3.0,20.0,22,13,zh_0.982|en_0.009|de_0.003|fr_0.003|wuu_0.001|it_0.001,zh_0.994|en_0.006,
73,l2_interaction,retail,chinese,zh,zh,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen-3-235b-it,data/simulations/l2_interaction/20260509_014748_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_chinese/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.591,0.442,0.351,0.594,0.984579,0.986076,0.987,0.79,1686,1580,en_0.007|fr_0.004|de_0.004|als_0.001|wuu_0.001,en_0.014,3.0,24.0,16,21,zh_0.985|en_0.007|fr_0.004|de_0.004|als_0.001|wuu_0.001,zh_0.986|en_0.014,
74,l2_interaction,retail,filipino,tl,tl,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260420_063830_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_filipino/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.655,0.518,0.43,0.656,0.778247,0.942288,0.78,0.772,1894,1958,en_0.194|io_0.004|de_0.003|it_0.003|sh_0.002|uk_0.002|es_0.001|et_0.001|fr_0.001|ilo_0.001|ru_0.001|br_0.001|da_0.001|eo_0.001|hr_0.001|jv_0.001|lt_0.001|nl_0.001|no_0.001|oc_0.001|pl_0.001|ro_0.001|sco_0.001|sq_0.001|ta_0.001|tg_0.001|tr_0.001|vi_0.001,en_0.058,3.0,22.0,209,96,tl_0.778|en_0.194|io_0.004|de_0.003|it_0.003|sh_0.002|uk_0.002|es_0.001|et_0.001|fr_0.001|ilo_0.001|ru_0.001|br_0.001|da_0.001|eo_0.001|hr_0.001|jv_0.001|lt_0.001|nl_0.001|no_0.001|oc_0.001|pl_0.001|ro_0.001|sco_0.001|sq_0.001|ta_0.001|tg_0.001|tr_0.001|vi_0.001,tl_0.942|en_0.058,
75,l2_interaction,retail,filipino,tl,tl,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260513_051905_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_filipino/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.675,0.541,0.474,0.702,0.747839,0.783445,0.771,0.674,1967,2392,en_0.209|de_0.007|io_0.007|pt_0.004|fr_0.004|lt_0.003|sh_0.003|es_0.003|la_0.002|it_0.002|hr_0.001|ro_0.001|ru_0.001|sco_0.001|br_0.001|cy_0.001|hu_0.001|id_0.001|ms_0.001|nl_0.001|qu_0.001|si_0.001|sq_0.001,en_0.216|sco_0.000,3.0,15.0,204,208,tl_0.748|en_0.209|de_0.007|io_0.007|pt_0.004|fr_0.004|lt_0.003|sh_0.003|es_0.003|la_0.002|it_0.002|hr_0.001|ro_0.001|ru_0.001|sco_0.001|br_0.001|cy_0.001|hu_0.001|id_0.001|ms_0.001|nl_0.001|qu_0.001|si_0.001|sq_0.001,tl_0.783|en_0.216|sco_0.000,
76,l2_interaction,retail,filipino,tl,tl,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen-3-235b-it,data/simulations/l2_interaction/20260509_155537_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_filipino/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.573,0.444,0.386,0.674,0.772326,0.902644,0.789,0.729,1814,1664,en_0.188|de_0.006|io_0.006|es_0.003|hu_0.003|id_0.003|lt_0.002|eo_0.002|it_0.002|la_0.002|pt_0.002|fr_0.001|nl_0.001|ro_0.001|sh_0.001|ar_0.001|br_0.001|bs_0.001|ca_0.001|gl_0.001|hr_0.001|ilo_0.001|pl_0.001|ru_0.001|war_0.001,en_0.097,3.0,14.0,182,76,tl_0.772|en_0.188|de_0.006|io_0.006|es_0.003|hu_0.003|id_0.003|lt_0.002|eo_0.002|it_0.002|la_0.002|pt_0.002|fr_0.001|nl_0.001|ro_0.001|sh_0.001|ar_0.001|br_0.001|bs_0.001|ca_0.001|gl_0.001|hr_0.001|ilo_0.001|pl_0.001|ru_0.001|war_0.001,tl_0.903|en_0.097,
77,l2_interaction,retail,indonesian,id,id,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260420_040050_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_indonesian/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.684,0.547,0.456,0.667,0.932173,0.938788,0.944,0.753,1666,1699,en_0.050|ms_0.007|es_0.002|it_0.002|ru_0.002|eo_0.001|ar_0.001|br_0.001|ca_0.001|de_0.001|jv_0.001|sw_0.001,en_0.059|ms_0.001|jv_0.001,17.0,20.0,84,88,id_0.932|en_0.050|ms_0.007|es_0.002|it_0.002|ru_0.002|eo_0.001|ar_0.001|br_0.001|ca_0.001|de_0.001|jv_0.001|sw_0.001,id_0.939|en_0.059|ms_0.001|jv_0.001,
78,l2_interaction,retail,indonesian,id,id,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260513_021823_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_indonesian/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.64,0.482,0.386,0.603,0.972973,0.992346,0.975,0.838,1813,2221,en_0.014|ms_0.008|de_0.003|fr_0.001|it_0.001|ja_0.001,en_0.006|ja_0.001|ms_0.000,5.0,18.0,38,17,id_0.973|en_0.014|ms_0.008|de_0.003|fr_0.001|it_0.001|ja_0.001,id_0.992|en_0.006|ja_0.001|ms_0.000,
79,l2_interaction,retail,indonesian,id,id,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen-3-235b-it,data/simulations/l2_interaction/20260509_093704_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_indonesian/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.608,0.462,0.386,0.635,0.970896,0.992419,0.974,0.792,1718,1583,en_0.016|ms_0.006|de_0.005|fr_0.001|ja_0.001|nl_0.001|ru_0.001,en_0.005|ms_0.003,3.0,23.0,39,12,id_0.971|en_0.016|ms_0.006|de_0.005|fr_0.001|ja_0.001|nl_0.001|ru_0.001,id_0.992|en_0.005|ms_0.003,
80,l2_interaction,retail,thai,th,th,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260420_023353_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_thai/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.699,0.538,0.43,0.615,0.954128,0.97786,0.957,0.778,1635,1626,en_0.038|de_0.001|es_0.001|fr_0.001|ru_0.001|fa_0.001|it_0.001|ta_0.001|uk_0.001|zh_0.001,en_0.022,16.0,20.0,55,36,th_0.954|en_0.038|de_0.001|es_0.001|fr_0.001|ru_0.001|fa_0.001|it_0.001|ta_0.001|uk_0.001|zh_0.001,th_0.978|en_0.022,
81,l2_interaction,retail,thai,th,th,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260512_230553_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.573,0.43,0.36,0.628,0.983439,0.990253,0.985,0.816,1570,2052,en_0.008|de_0.004|fr_0.003|ru_0.002,en_0.010,3.0,20.0,18,20,th_0.983|en_0.008|de_0.004|fr_0.003|ru_0.002,th_0.990|en_0.010,
82,l2_interaction,retail,thai,th,th,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen-3-235b-it,data/simulations/l2_interaction/20260508_194059_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.526,0.383,0.325,0.618,0.991895,0.985242,0.993,0.756,1604,1423,de_0.004|en_0.004|fr_0.001,en_0.015,3.0,16.0,12,21,th_0.992|de_0.004|en_0.004|fr_0.001,th_0.985|en_0.015,
83,l2_interaction,retail,vietnamese,vi,vi,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260420_012220_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_vietnamese/results.json,"[""user_system"", ""agent_system"", ""greeting""]",0.696,0.57,0.5,0.718,0.942925,0.976959,0.946,0.79,1682,1736,en_0.044|es_0.004|de_0.002|it_0.002|ru_0.002|ca_0.001|et_0.001|no_0.001|pt_0.001|te_0.001|uk_0.001,en_0.023,15.0,22.0,75,40,vi_0.943|en_0.044|es_0.004|de_0.002|it_0.002|ru_0.002|ca_0.001|et_0.001|no_0.001|pt_0.001|te_0.001|uk_0.001,vi_0.977|en_0.023,
