scenario,domain,language_senario,agent_llm,normalized_agent_llm,simulation_source,pass_hat_1,pass_hat_2,pass_hat_3,rho_hat_3,read_action,write_action,db_match,user_language_correctness,agent_language_correctness,total_simulations,total_tasks
l2_interaction,retail,vietnamese,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen-3-235b-it,data/simulations/l2_interaction/20260508_001135_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese,0.556,0.418,0.333,0.599,0.889,0.659,0.594,0.98,0.786,342,114
l2_interaction,telecom,chinese,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260429_025830_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_chinese,0.728,0.608,0.518,0.712,,0.878,0.213,0.997,0.758,342,114
l2_interaction,telecom,chinese,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260513_172533_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_chinese,0.93,0.868,0.816,0.877,,0.971,0.263,1.0,0.864,342,114
l2_interaction,telecom,chinese,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen-3-235b-it,data/simulations/l2_interaction/20260510_103627_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_chinese,0.228,0.132,0.096,0.421,,0.713,0.137,1.0,0.674,342,114
l2_interaction,telecom,filipino,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260429_054648_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_filipino,0.74,0.617,0.535,0.723,,0.86,0.217,0.975,0.783,342,114
l2_interaction,telecom,filipino,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260516_115946_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_filipino,0.883,0.784,0.702,0.795,,0.927,0.26,0.996,0.877,342,114
l2_interaction,telecom,filipino,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen-3-235b-it,data/simulations/l2_interaction/20260510_145153_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_filipino,0.155,0.088,0.061,0.394,,0.541,0.134,0.994,0.675,342,114
l2_interaction,telecom,indonesian,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260428_231442_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_indonesian,0.582,0.453,0.404,0.694,,0.704,0.187,0.987,0.805,342,114
l2_interaction,telecom,indonesian,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260513_141803_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_indonesian,0.915,0.839,0.772,0.844,,0.953,0.257,0.996,0.888,342,114
l2_interaction,telecom,indonesian,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen-3-235b-it,data/simulations/l2_interaction/20260510_004116_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_indonesian,0.333,0.17,0.105,0.315,,0.67,0.145,0.995,0.816,342,114
l2_interaction,telecom,thai,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260421_211414_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_thai,0.605,0.436,0.342,0.565,,0.815,0.187,0.998,0.785,342,114
l2_interaction,telecom,thai,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260513_111037_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai,0.854,0.763,0.702,0.822,,0.903,0.254,1.0,0.855,342,114
l2_interaction,telecom,thai,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen-3-235b-it,data/simulations/l2_interaction/20260509_204837_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai,0.222,0.108,0.061,0.275,,0.482,0.146,1.0,0.705,342,114
l2_interaction,telecom,vietnamese,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_interaction/20260421_110831_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_vietnamese,0.561,0.43,0.368,0.656,,0.752,0.165,0.998,0.811,342,114
l2_interaction,telecom,vietnamese,azure/kimi-k2.5,kimi-k2.5,data/simulations/l2_interaction/20260513_073043_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese,0.912,0.836,0.772,0.846,,0.965,0.263,1.0,0.897,342,114
l2_interaction,telecom,vietnamese,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen-3-235b-it,data/simulations/l2_interaction/20260509_173928_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese,0.26,0.129,0.061,0.235,,0.591,0.135,1.0,0.773,342,114
l2_tools,airline,chinese,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools,0.687,0.593,0.52,0.757,0.828,0.605,0.72,0.998,1.0,150,50
l2_tools,airline,chinese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools,0.48,0.313,0.2,0.417,0.861,0.476,0.5,0.995,1.0,150,50
l2_tools,airline,filipino,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools,0.667,0.58,0.54,0.81,0.839,0.578,0.68,0.997,1.0,150,50
l2_tools,airline,filipino,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools,0.467,0.32,0.24,0.514,0.861,0.49,0.5,0.996,1.0,150,50
l2_tools,airline,indonesian,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_id_tools,0.687,0.567,0.48,0.699,0.875,0.639,0.693,0.998,1.0,150,50
l2_tools,airline,indonesian,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_id_tools,0.4,0.233,0.18,0.45,0.897,0.374,0.42,0.999,1.0,150,50
l2_tools,airline,thai,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_th_tools,0.62,0.473,0.4,0.645,0.839,0.469,0.633,0.993,1.0,150,50
l2_tools,airline,thai,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_th_tools,0.38,0.253,0.22,0.579,0.879,0.463,0.413,0.995,1.0,150,50
l2_tools,airline,tool_mix_2,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi,0.68,0.56,0.48,0.706,0.817,0.619,0.687,0.998,1.0,150,50
l2_tools,airline,tool_mix_2,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi,0.44,0.28,0.2,0.455,0.853,0.435,0.46,0.996,1.0,150,50
l2_tools,airline,tool_mix_3,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri,0.66,0.56,0.48,0.727,0.817,0.592,0.673,0.997,1.0,150,50
l2_tools,airline,tool_mix_3,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri,0.413,0.267,0.2,0.484,0.864,0.503,0.427,0.995,1.0,150,50
l2_tools,airline,tool_mix_4,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth,0.64,0.52,0.48,0.75,0.857,0.524,0.653,0.995,1.0,150,50
l2_tools,airline,tool_mix_4,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth,0.413,0.287,0.24,0.581,0.853,0.456,0.42,0.998,1.0,150,50
l2_tools,airline,tool_mix_5,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi,0.64,0.513,0.44,0.688,0.806,0.51,0.647,0.996,1.0,150,50
l2_tools,airline,tool_mix_5,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi,0.413,0.267,0.22,0.533,0.864,0.463,0.433,0.996,1.0,150,50
l2_tools,airline,vietnamese,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_airline_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools,0.653,0.527,0.46,0.704,0.886,0.51,0.653,0.994,1.0,150,50
l2_tools,airline,vietnamese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_airline_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools,0.447,0.313,0.26,0.582,0.853,0.408,0.46,0.998,1.0,150,50
l2_tools,retail,chinese,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools,0.719,0.579,0.482,0.67,0.936,0.759,0.737,0.996,1.0,342,114
l2_tools,retail,chinese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools,0.594,0.433,0.36,0.606,0.913,0.648,0.635,0.988,1.0,342,114
l2_tools,retail,filipino,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools,0.661,0.515,0.439,0.664,0.939,0.712,0.661,0.996,1.0,342,114
l2_tools,retail,filipino,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools,0.57,0.421,0.342,0.6,0.901,0.613,0.572,0.989,1.0,342,114
l2_tools,retail,indonesian,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_id_tools,0.675,0.526,0.43,0.637,0.949,0.725,0.696,0.996,1.0,342,114
l2_tools,retail,indonesian,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_id_tools,0.55,0.418,0.351,0.638,0.903,0.614,0.573,0.991,1.0,342,114
l2_tools,retail,thai,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_th_tools,0.646,0.477,0.377,0.584,0.924,0.731,0.673,0.997,1.0,342,114
l2_tools,retail,thai,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_th_tools,0.561,0.421,0.351,0.626,0.903,0.633,0.596,0.99,1.0,342,114
l2_tools,retail,tool_mix_2,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi,0.667,0.541,0.465,0.697,0.923,0.714,0.696,0.995,1.0,342,114
l2_tools,retail,tool_mix_2,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi,0.596,0.456,0.386,0.648,0.894,0.638,0.632,0.99,1.0,342,114
l2_tools,retail,tool_mix_3,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri,0.667,0.538,0.456,0.684,0.92,0.71,0.693,0.995,1.0,342,114
l2_tools,retail,tool_mix_3,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri,0.535,0.398,0.325,0.607,0.909,0.629,0.57,0.989,1.0,342,114
l2_tools,retail,tool_mix_4,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth,0.652,0.485,0.386,0.592,0.923,0.722,0.673,0.997,1.0,342,114
l2_tools,retail,tool_mix_4,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth,0.585,0.447,0.377,0.644,0.895,0.671,0.628,0.988,1.0,342,114
l2_tools,retail,tool_mix_5,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi,0.696,0.547,0.447,0.642,0.935,0.723,0.728,0.996,1.0,342,114
l2_tools,retail,tool_mix_5,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi,0.57,0.401,0.298,0.523,0.897,0.633,0.608,0.99,1.0,342,114
l2_tools,retail,vietnamese,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools,0.681,0.532,0.43,0.631,0.928,0.737,0.702,0.997,1.0,342,114
l2_tools,retail,vietnamese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools,0.547,0.412,0.351,0.642,0.894,0.627,0.576,0.991,1.0,342,114
l2_tools,telecom,chinese,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools,0.705,0.576,0.5,0.709,,0.839,0.175,0.999,1.0,342,114
l2_tools,telecom,chinese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools,0.222,0.135,0.096,0.432,,0.373,0.117,1.0,0.981,342,114
l2_tools,telecom,filipino,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools,0.719,0.594,0.509,0.708,,0.867,0.226,0.999,1.0,342,114
l2_tools,telecom,filipino,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools,0.301,0.167,0.105,0.349,,0.602,0.123,1.0,0.983,342,114
l2_tools,telecom,indonesian,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_id_tools,0.713,0.596,0.518,0.727,,0.87,0.196,0.999,1.0,342,114
l2_tools,telecom,indonesian,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_id_tools,0.269,0.155,0.105,0.39,,0.49,0.129,0.999,0.987,342,114
l2_tools,telecom,thai,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_th_tools,0.713,0.588,0.518,0.727,,0.854,0.222,0.999,1.0,342,114
l2_tools,telecom,thai,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_th_tools,0.339,0.208,0.14,0.413,,0.661,0.132,0.999,0.993,342,114
l2_tools,telecom,tool_mix_2,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi,0.664,0.541,0.482,0.726,,0.846,0.19,1.0,1.0,342,114
l2_tools,telecom,tool_mix_2,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi,0.298,0.155,0.088,0.295,,0.612,0.135,0.999,0.985,342,114
l2_tools,telecom,tool_mix_3,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri,0.696,0.558,0.491,0.705,,0.853,0.191,0.999,1.0,342,114
l2_tools,telecom,tool_mix_3,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri,0.392,0.213,0.14,0.357,,0.651,0.129,0.998,0.985,342,114
l2_tools,telecom,tool_mix_4,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth,0.67,0.55,0.491,0.733,,0.841,0.196,1.0,1.0,342,114
l2_tools,telecom,tool_mix_4,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth,0.365,0.181,0.105,0.288,,0.683,0.155,1.0,0.987,342,114
l2_tools,telecom,tool_mix_5,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi,0.652,0.52,0.465,0.713,,0.812,0.211,1.0,1.0,342,114
l2_tools,telecom,tool_mix_5,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi,0.342,0.181,0.114,0.333,,0.614,0.149,0.999,0.987,342,114
l2_tools,telecom,vietnamese,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools,0.664,0.55,0.482,0.726,,0.856,0.199,1.0,1.0,342,114
l2_tools,telecom,vietnamese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools,0.254,0.135,0.088,0.346,,0.45,0.126,1.0,0.985,342,114
