scenario,domain,language_senario,agent_llm,normalized_agent_llm,simulation_source,pass_hat_1,pass_hat_2,pass_hat_3,rho_3,read_action,write_action,db_match,user_language_correctness,agent_language_correctness,total_simulations,total_tasks
3-crosslingual,airline,filipino,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/3-crosslingual/20260517_105425_airline_llm_agent_qwen3.6-35b-a3b_user_simulator_qwen3-235b-a22b-2507_crosslingual_filipino,0.76,0.6667,0.6,0.789,252/273,74/147,116/150,0.037,0.5,150,50
3-crosslingual,airline,indonesian,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/3-crosslingual/20260516_124416_airline_llm_agent_qwen3.6-35b-a3b_user_simulator_qwen3-235b-a22b-2507_crosslingual_indonesian,0.7733,0.6933,0.64,0.828,251/273,72/147,120/150,0,0.303,150,50
3-crosslingual,airline,thai,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/3-crosslingual/20260515_204407_airline_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai,0.7133,0.6,0.52,0.729,257/273,60/147,110/150,0.004,0.334,150,50
3-crosslingual,airline,vietnamese,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/3-crosslingual/20260515_160029_airline_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese,0.7867,0.7267,0.7,0.890,242/273,79/147,124/150,0,0.314,150,50
3-crosslingual,retail,chinese,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260420_052326_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_chinese,0.6754,0.5058,0.4123,0.610,986/1068,393/528,240/341,0.041,0.317,342,114
3-crosslingual,retail,filipino,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260420_063830_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_filipino,0.655,0.5175,0.4298,0.656,976/1068,387/528,226/341,0.195,0.228,342,114
3-crosslingual,retail,indonesian,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260420_040050_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_indonesian,0.6842,0.5468,0.4561,0.667,993/1066,404/526,248/341,0.04,0.245,342,114
3-crosslingual,retail,thai,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260420_023353_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_thai,0.6988,0.538,0.4298,0.615,983/1071,393/528,242/342,0.035,0.222,342,114
3-crosslingual,retail,vietnamese,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260420_012220_retail_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_vietnamese,0.6959,0.5702,0.5,0.718,989/1071,401/528,250/342,0.042,0.21,342,114
3-crosslingual,retail,chinese,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260513_044927_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_chinese,0.7222,0.5965,0.5263,0.729,986/1071,411/528,257/342,0.009,0.165,342,114
3-crosslingual,retail,filipino,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260513_051905_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_filipino,0.6754,0.5409,0.4737,0.701,986/1071,382/528,240/342,0.193,0.325,342,114
3-crosslingual,retail,indonesian,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260513_021823_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_indonesian,0.6404,0.4825,0.386,0.603,980/1071,351/528,225/342,0.012,0.16,342,114
3-crosslingual,retail,thai,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260512_230553_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai,0.5731,0.4298,0.3596,0.627,963/1071,311/528,204/342,0.006,0.184,342,114
3-crosslingual,retail,vietnamese,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260512_141138_retail_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese,0.6871,0.5497,0.4649,0.677,989/1071,380/528,245/342,0.019,0.148,342,114
3-crosslingual,retail,chinese,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260509_014748_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_chinese,0.5906,0.4415,0.3509,0.594,953/1071,362/528,212/342,0.005,0.21,342,114
3-crosslingual,retail,filipino,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260509_155537_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_filipino,0.5731,0.4444,0.386,0.674,948/1071,337/528,203/342,0.173,0.271,342,114
3-crosslingual,retail,indonesian,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260509_093704_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_indonesian,0.6082,0.462,0.386,0.635,955/1071,340/528,217/342,0.014,0.206,342,114
3-crosslingual,retail,thai,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260508_194059_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai,0.5263,0.383,0.3246,0.617,919/1071,315/528,190/342,0.003,0.244,342,114
3-crosslingual,retail,vietnamese,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260508_001135_retail_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese,0.5556,0.4181,0.3333,0.600,952/1071,348/528,203/342,0.011,0.214,342,114
3-crosslingual,retail,chinese,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/3-crosslingual/20260516_075443_retail_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_chinese,0.6988,0.5643,0.4825,0.690,953/1071,394/528,242/342,0.005,0.213,342,114
3-crosslingual,retail,filipino,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/3-crosslingual/20260516_150429_retail_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_filipino,0.6813,0.5526,0.4649,0.682,972/1071,382/528,237/342,0.217,0.551,342,114
3-crosslingual,retail,indonesian,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/3-crosslingual/20260516_043356_retail_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_indonesian,0.7135,0.5994,0.5263,0.738,994/1071,406/528,247/342,0.017,0.211,342,114
3-crosslingual,retail,thai,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,,0.5877,0.4123,0.307,0.522,920/1071,347/528,212/342,,,342,114
3-crosslingual,retail,vietnamese,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/3-crosslingual/20260516_185604_retail_llm_agent_qwen3.6-35b-a3b_user_simulator_qwen3-235b-a22b-2507_crosslingual_vietnamese,0.7222,0.5965,0.5175,0.717,938/1071,402/528,253/342,0.028,0.213,342,114
3-crosslingual,telecom,chinese,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260429_025830_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_chinese,0.7281,0.6082,0.5175,0.711,N/A,1307/1488,73/342,0.001,0.242,342,114
3-crosslingual,telecom,filipino,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260429_054648_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_filipino,0.7398,0.617,0.5351,0.723,N/A,1276/1483,74/341,0.016,0.217,342,114
3-crosslingual,telecom,indonesian,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260428_231442_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_indonesian,0.5819,0.4532,0.4035,0.693,N/A,1047/1488,64/342,0.004,0.194,342,114
3-crosslingual,telecom,thai,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260421_211414_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_thai,0.6053,0.4357,0.3421,0.565,N/A,1212/1488,64/342,0,0.215,342,114
3-crosslingual,telecom,vietnamese,openrouter/openai/gpt-5-mini,gpt-5-mini,data/simulations/3-crosslingual/20260421_110831_telecom_llm_agent_gpt-5-mini_user_simulator_qwen3-235b-a22b-2507_crosslingual_vietnamese,0.5614,0.4298,0.3684,0.656,N/A,1103/1467,56/340,0,0.189,342,114
3-crosslingual,telecom,chinese,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260513_172533_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_chinese,0.9298,0.8684,0.8158,0.877,N/A,1445/1488,90/342,0,0.136,342,114
3-crosslingual,telecom,filipino,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260516_115946_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_filipino,0.883,0.7836,0.7018,0.795,N/A,1379/1488,89/342,0.003,0.123,342,114
3-crosslingual,telecom,indonesian,azure/kimi-k2.5,kimi-k2.5,,0.9152,0.8392,0.7719,0.843,N/A,1418/1488,88/342,,,342,114
3-crosslingual,telecom,thai,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260513_111037_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai,0.8538,0.7632,0.7018,0.822,N/A,1343/1488,87/342,0,0.145,342,114
3-crosslingual,telecom,vietnamese,azure/kimi-k2.5,kimi-k2.5,data/simulations/3-crosslingual/20260513_073043_telecom_llm_agent_kimi-k2.5_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese,0.9123,0.8363,0.7719,0.846,N/A,1436/1488,90/342,0,0.103,342,114
3-crosslingual,telecom,chinese,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260510_103627_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_chinese,0.2281,0.1316,0.0965,0.423,N/A,462/648,23/168,0,0.326,342,114
3-crosslingual,telecom,filipino,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260510_145153_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_filipino,0.155,0.0877,0.0614,0.396,N/A,360/665,22/164,0.004,0.325,342,114
3-crosslingual,telecom,indonesian,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260510_004116_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_indonesian,0.3333,0.1696,0.1053,0.316,N/A,970/1447,48/332,0,0.174,342,114
3-crosslingual,telecom,thai,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260509_204837_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai,0.2222,0.1082,0.0614,0.276,N/A,544/1128,40/274,0,0.295,342,114
3-crosslingual,telecom,vietnamese,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260509_173928_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese,0.2602,0.1287,0.0614,0.236,N/A,792/1341,43/318,0,0.227,342,114
3-crosslingual,telecom,chinese,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/3-crosslingual/20260517_153724_telecom_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_chinese,0.9708,0.9474,0.9298,0.958,N/A,1469/1488,93/342,0,0.163,342,114
3-crosslingual,telecom,filipino,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/3-crosslingual/20260517_082423_telecom_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_filipino,0.9708,0.9503,0.9298,0.958,N/A,1477/1488,95/342,0.006,0.17,342,114
3-crosslingual,telecom,indonesian,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/3-crosslingual/20260517_092442_telecom_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_indonesian,0.9912,0.9854,0.9825,0.991,N/A,1488/1488,96/342,0,0.151,342,114
3-crosslingual,telecom,thai,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,,0.9298,0.8772,0.8333,0.896,N/A,1456/1488,92/342,,,342,114
3-crosslingual,telecom,vietnamese,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,,0.9912,0.9825,0.9737,0.982,N/A,1479/1488,95/342,,,342,114
4-translated,airline,chinese,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-16-20-45-18_airline_zh_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.607,0.493,0.44,0.725,0.934,0.265,0.627,0.994,0.965,150,50
4-translated,airline,filipino,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-16-17-08-16_airline_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.56,0.433,0.38,0.679,0.751,0.184,0.56,0.951,0.831,150,50
4-translated,airline,indonesian,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-16-13-43-08_airline_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.6,0.54,0.5,0.833,0.78,0.184,0.613,0.963,0.796,150,50
4-translated,airline,thai,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-16-15-12-02_airline_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.593,0.453,0.36,0.607,0.89,0.204,0.613,0.993,0.994,150,50
4-translated,airline,vietnamese,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-16-18-54-35_airline_vi_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.54,0.4,0.32,0.593,0.883,0.163,0.553,0.989,0.997,150,50
4-translated,airline,chinese,nebius/moonshotai/Kimi-K2.5,kimi-k2.5,data/simulations/4-translated/2026-05-23-16-30-27_translated_airline_trial-3_zh_nebius-kimi-k2.5_nebius-Qwen3-235B,0.66,0.507,0.44,0.667,0.933,0.293,0.701,1,1,150,50
4-translated,airline,filipino,azure/kimi-k2.5,kimi-k2.5,,0.006,0.0048,0.004,0.667,0.00946,0.00281,0.00736,,,150,50
4-translated,airline,indonesian,azure/kimi-k2.5,kimi-k2.5,,0.006,0.00487,0.0042,0.700,0.00903,0.00232,0.00732,,,150,50
4-translated,airline,thai,nebius/moonshotai/Kimi-K2.5,kimi-k2.5,data/simulations/4-translated/2026-05-23-16-16-21_translated_airline_trial-3_th_nebius-kimi-k2.5_nebius-Qwen3-235B,0.547,0.387,0.3,0.548,0.893,0.205,0.677,1,1,150,50
4-translated,airline,vietnamese,azure/kimi-k2.5,kimi-k2.5,data/simulations/4-translated/2026-05-23-22-56-00_translated_airline_trial-3_vi_kimi-k2.5_vertex_ai_default_user,0.56,0.427,0.34,0.607,0.831,0.255,0.72,1,1,150,50
4-translated,airline,chinese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-20-21-17-35_translated_airline_trial-3_zh_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,0.5,0.473,0.46,0.920,0.901,0.167,0.594,1,1,150,50
4-translated,airline,filipino,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-20-21-17-35_translated_airline_trial-3_tl_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,0.473,0.42,0.4,0.846,0.876,0.127,0.593,0.976,0.941,150,50
4-translated,airline,indonesian,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-20-21-17-35_translated_airline_trial-3_id_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,0.48,0.44,0.42,0.875,0.821,0.102,0.612,0.991,0.96,150,50
4-translated,airline,thai,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-20-21-17-35_translated_airline_trial-3_th_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,0.46,0.413,0.38,0.826,0.849,0.069,0.521,1,1,150,50
4-translated,airline,vietnamese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-20-21-17-35_translated_airline_trial-3_vi_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,0.487,0.46,0.44,0.903,0.835,0.095,0.578,1,0.999,150,50
4-translated,airline,chinese,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/4-translated/2026-05-18-21-57-05_translated_airline_trial-3_zh_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8,0.553,0.453,0.38,0.687,0.97,0.389,0.817,1,0.997,150,50
4-translated,airline,filipino,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/4-translated/2026-05-18-19-16-28_translated_airline_trial-3_tl_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8,0.667,0.569,0.511,0.766,0.845,0.298,0.715,0.987,0.909,150,49
4-translated,airline,indonesian,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/4-translated/2026-05-18-14-55-47_translated_airline_trial-3_id_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8,0.727,0.64,0.58,0.798,0.93,0.306,0.747,0.991,0.912,150,50
4-translated,airline,thai,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/4-translated/2026-05-18-15-31-49_translated_airline_trial-3_th_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8,0.547,0.42,0.36,0.658,0.867,0.189,0.726,0.999,1,150,50
4-translated,airline,vietnamese,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/4-translated/2026-05-18-20-53-11_translated_airline_trial-3_vi_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8,0.703,0.627,0.622,0.885,0.934,0.312,0.724,0.998,1,150,50
4-translated,retail,chinese,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-18-17-24-33_translated_retail_trial-3_zh_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.596,0.45,0.368,0.617,0.91,0.642,0.599,0.981,0.973,342,114
4-translated,retail,filipino,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-18-10-31-10_translated_retail_trial-3_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.488,0.333,0.263,0.539,0.892,0.539,0.5,0.958,0.97,342,114
4-translated,retail,indonesian,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-16-01-37-48_retail_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.541,0.392,0.325,0.601,0.911,0.57,0.564,0.965,0.953,342,114
4-translated,retail,thai,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-18-00-56-17_translated_retail_trial-3_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.325,0.175,0.123,0.378,0.756,0.37,0.34,0.997,0.997,342,114
4-translated,retail,vietnamese,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-18-14-30-34_translated_retail_trial-3_vi_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.585,0.427,0.333,0.569,0.908,0.638,0.594,0.991,0.998,342,114
4-translated,retail,chinese,azure/kimi-k2.5,kimi-k2.5,data/simulations/4-translated/2026-05-19-00-22-12_translated_retail_trial-3_zh_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,0.607,0.45,0.366,0.603,0.903,0.657,0.649,0.99,1,342,114
4-translated,retail,filipino,nebius/moonshotai/Kimi-K2.5,kimi-k2.5,data/simulations/4-translated/2026-05-23-13-48-12_translated_retail_trial-3_tl_nebius-kimi-k2.5_nebius-Qwen3-235B,0.444,0.292,0.219,0.493,0.941,0.49,0.518,0.945,0.965,342,114
4-translated,retail,indonesian,nebius/moonshotai/Kimi-K2.5,kimi-k2.5,data/simulations/4-translated/2026-05-23-13-20-23_translated_retail_trial-3_id_nebius-kimi-k2.5_nebius-Qwen3-235B,0.433,0.287,0.202,0.467,0.914,0.499,0.498,0.981,0.98,342,114
4-translated,retail,thai,nebius/moonshotai/Kimi-K2.5,kimi-k2.5,data/simulations/4-translated/2026-05-23-14-24-20_translated_retail_trial-3_th_nebius-kimi-k2.5_nebius-Qwen3-235B,0.327,0.19,0.114,0.349,0.915,0.416,0.423,0.996,1,342,114
4-translated,retail,vietnamese,azure/kimi-k2.5,kimi-k2.5,data/simulations/4-translated/2026-05-18-22-37-59_translated_retail_trial-3_vi_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,0.567,0.392,0.268,0.473,0.927,0.541,0.563,0.993,0.999,342,114
4-translated,retail,chinese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-20-21-17-35_translated_retail_trial-3_zh_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,0.266,0.181,0.149,0.560,0.862,0.401,0.198,0.985,1,342,114
4-translated,retail,filipino,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-20-21-17-35_translated_retail_trial-3_tl_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,0.26,0.187,0.158,0.608,0.859,0.274,0.172,0.942,0.959,342,114
4-translated,retail,indonesian,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-20-21-17-35_translated_retail_trial-3_id_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,0.243,0.17,0.14,0.576,0.853,0.299,0.178,0.976,0.968,342,114
4-translated,retail,thai,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-20-21-17-35_translated_retail_trial-3_th_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,0.178,0.143,0.132,0.742,0.746,0.219,0.137,0.993,1,342,114
4-translated,retail,vietnamese,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-20-21-17-35_translated_retail_trial-3_vi_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,0.289,0.205,0.149,0.516,0.89,0.321,0.172,0.986,1,342,114
4-translated,retail,indonesian,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/4-translated/2026-05-18-01-01-01_translated_retail_trial-3_id_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8,0.553,0.395,0.298,0.539,0.913,0.574,0.565,0.978,0.98,342,114
4-translated,telecom,chinese,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-24-02-25-44_telecom_zh_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.76,0.652,0.588,0.774,,0.884,0.231,1,0.987,342,114
4-translated,telecom,filipino,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-24-02-05-40_telecom_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.681,0.547,0.474,0.696,,0.872,0.201,0.978,0.929,342,114
4-translated,telecom,indonesian,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-18-21-51-53_translated_telecom_trial-3_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.497,0.325,0.246,0.495,,0.8,0.24,0.994,0.995,342,114
4-translated,telecom,thai,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-23-21-13-48_telecom_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.599,0.447,0.36,0.601,,0.774,0.213,0.999,0.996,342,114
4-translated,telecom,vietnamese,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-24-02-19-11_telecom_vi_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,0.564,0.427,0.36,0.638,,0.784,0.173,1,0.918,342,114
